PERIOD,RATE
200404,8.2600
200405,8.2600
200406,8.2600
200407,8.2600
200408,8.2600
200409,8.2600
200410,8.2600
200411,8.2600
200412,8.2600
200501,8.2600
200502,8.2600
200503,8.2600
200504,8.2600
200505,8.2600
200506,8.2600
200507,8.2600
200508,8.2600
200509,8.2600
200510,8.2600
200511,8.2600
200512,8.2600
200601,8.0700
200602,8.0702
200603,8.0702
200604,8.0194
200605,8.0025
200606,8.0210
200607,7.9956
200608,7.9730
200609,7.9590
200610,7.9040
200611,7.8720
200612,7.8330
200701,7.8073
200702,7.7615
200703,7.7472
200704,7.7342
200705,7.7055
200706,7.6497
200707,7.6178
200708,7.5660
200709,7.5546
200710,7.5108
200711,7.4552
200712,7.3997
200801,7.3046
200802,7.1853
200803,7.1058
200804,7.0190
200805,7.0002
200806,6.9472
200807,6.8591
200808,6.8388
200809,6.8345
200810,6.8321
200811,6.8258
200812,6.8349
200901,6.8346
200902,6.8397
200903,6.8389
200904,6.8349
200905,6.8225
200906,6.8317
200907,6.8325
200908,6.8310
200909,6.8308
200910,6.8270
200911,6.8282
200912,6.8270
201001,6.8282
201002,6.8271
201003,6.8267
201004,6.8261
201005,6.8265
201006,6.8279
201007,6.7858
201008,6.7742
201009,6.8126
201010,6.7011
201011,6.6886
201012,6.6786
201101,6.6227
201102,6.5860
201103,6.5706
201104,6.5527
201105,6.5002
201106,6.4837
201107,6.4685
201108,6.4399
201109,6.3859
201110,6.3549
201111,6.3293
201112,6.3353
201201,6.3009
201202,6.3103
201203,6.3016
201204,6.3035
201205,6.2670
201206,6.3308
201207,6.3146
201208,6.3305
201209,6.3415
201210,6.3410
201211,6.3017
201212,6.2908
201301,6.2855
201302,6.2819
201303,6.2798
201304,6.2674
201305,6.2082
201306,6.1806
201307,6.1805
201308,6.1778
201309,6.1702
201310,6.1415
201311,6.1452
201312,6.1329
201401,6.0969
201402,6.1089
201403,6.1190
201404,6.1503
201405,6.1560
201406,6.1710
201407,6.1523
201408,6.1681
201409,6.1680
201410,6.1493
201411,6.1525
201412,6.1369
201501,6.1190
201502,6.1385
201503,6.1513
201504,6.1434
201505,6.1165
201506,6.1207
201507,6.1149
201508,6.1169
201509,6.3752
201510,6.3505
201511,6.3154
201512,6.3973
201601,6.4936
201602,6.5539
201603,6.5385
201604,6.4585
201605,6.4565
201606,6.5889
201607,6.6496
201608,6.6277
201609,6.6784
201610,6.7008
201611,6.7734
201612,6.8958
201701,6.9370
201702,6.8556
201703,6.8798
201704,6.8906
201705,6.8956
201706,6.8090
201707,6.7772
201708,6.7148
201709,6.5909
201710,6.6369
201711,6.6300
201712,6.6067
201801,6.5342
201802,6.3045
201803,6.3352
201804,6.2764
201805,6.3670
201806,6.4078
201807,6.6157
201808,6.8293
201809,6.8347
201810,6.8792
201811,6.9670
201812,6.9431
201901,6.8632
201902,6.7081
201903,6.6957
201904,6.7193
201905,6.7344
201906,6.8896
201907,6.8716
201908,6.8938
201909,7.0883
201910,7.0729
201911,7.0437
201912,7.0262
202001,6.9762
202002,6.9249
202003,6.9811
202004,7.0771
202005,7.0571
202006,7.1315
202007,7.0710
202008,6.9980
202009,6.8498
202010,6.8101
202011,6.7050
202012,6.5921
202101,6.5249
202102,6.4623
202103,6.4754
202104,6.5584
202105,6.4672
202106,6.3572
202107,6.4709
202108,6.4660
202109,6.4680
202110,6.4854
202111,6.4192
202112,6.3693
202201,6.3757
202202,6.3470
202203,6.3457
202204,6.4280
202205,6.7071
202206,6.6991
202207,6.7325
202208,6.7949
202209,6.9621
202210,7.1287
202211,7.1628
202212,6.9863
202301,6.7976
202302,6.8296
202303,6.8982
202304,6.8852
202305,6.9912
202306,7.1490
202307,7.1619
202308,7.1731
202309,7.1839
202310,7.1786
202311,7.1544
202312,7.1038
202401,7.1060
202402,7.1051
202403,7.0978
202404,7.1007
202405,7.1057
202406,7.1162
202407,7.1316
202408,7.1342
202409,7.0791
202410,7.1058
202411,7.1731
202412,7.1886
202501,7.1833
202502,7.1711
202503,7.1732
202504,7.2034
202505,7.1951
202506,7.1757
202507,7.1491
202508,7.1309
202509,7.1068
202510,7.0948
202511,7.0848
202512,7.0594
202601,7.0591
202602,6.9464
202603,6.9037
202604,6.8681
202605,6.8385
202606,6.8154
202607,6.7969
202608,6.7828
202609,6.7828
202610,6.7828
202611,6.7828
202612,6.7828
