PERIOD,RATE
200801,0.68036
200802,0.68074
200803,0.64887
200804,0.63371
200805,0.64330
200806,0.64135
200807,0.63295
200808,0.65948
200809,0.69156
200810,0.74105
200811,0.78819
200812,0.74916
200901,0.74950
200902,0.78021
200903,0.76699
200904,0.75649
200905,0.73197
200906,0.71347
200907,0.71012
200908,0.70128
200909,0.68757
200910,0.67534
200911,0.67106
200912,0.68406
201001,0.70006
201002,0.73077
201003,0.73624
201004,0.74491
201005,0.79430
201006,0.81846
201007,0.78313
201008,0.77372
201009,0.76833
201010,0.71958
201011,0.72816
201012,0.75657
201101,0.74912
201102,0.73287
201103,0.71378
201104,0.69085
201105,0.69798
201106,0.69556
201107,0.69901
201108,0.69803
201109,0.72114
201110,0.73164
201111,0.73142
201112,0.75786
201201,0.77682
201202,0.75786
201203,0.75563
201204,0.75988
201205,0.77519
201206,0.79796
201207,0.81235
201208,0.80959
201209,0.78082
201210,0.77083
201211,0.78034
201212,0.76423
201301,0.75472
201302,0.74455
201303,0.76959
201304,0.76864
201305,0.76941
201306,0.76109
201307,0.76617
201308,0.75131
201309,0.74951
201310,0.73459
201311,0.73861
201312,0.73137
201401,0.73378
201402,0.73357
201403,0.72411
201404,0.72448
201405,0.72579
201406,0.73519
201407,0.73697
201408,0.74755
201409,0.77050
201410,0.78920
201411,0.79850
201412,0.81130
201501,0.85840
201502,0.88090
201503,0.92260
201504,0.92380
201505,0.89550
201506,0.89170
201507,0.90960
201508,0.89820
201509,0.88990
201510,0.89100
201511,0.93280
201512,0.91878
201601,0.92047
201602,0.90000
201603,0.89939
201604,0.88205
201605,0.88440
201606,0.88919
201607,0.90260
201608,0.89570
201609,0.89224
201610,0.90980
201611,0.94350
201612,0.94899
201701,0.94126
201702,0.93876
201703,0.93529
201704,0.93457
201705,0.90505
201706,0.89095
201707,0.86794
201708,0.84104
201709,0.84880
201710,0.85059
201711,0.85214
201712,0.84547
201801,0.82063
201802,0.80940
201803,0.81106
201804,0.81421
201805,0.84517
201806,0.85657
201807,0.85522
201808,0.86648
201809,0.85811
201810,0.86967
201811,0.87982
201812,0.87938
201901,0.87566
201902,0.87566
201903,0.88417
201904,0.89016
201905,0.89352
201906,0.88590
201907,0.89089
201908,0.89770
201909,0.90754
201910,0.90482
201911,0.90423
201912,0.90047
202001,0.90026
202002,0.91618
202003,0.90336
202004,0.91994
202005,0.91679
202006,0.88888
202007,0.87420
202008,0.84567
202009,0.84792
202010,0.84948
202011,0.84480
202012,0.82217
202101,0.82154
202102,0.82660
202103,0.83960
202104,0.83674
202105,0.82376
202106,0.83010
202107,0.84563
202108,0.84952
202109,0.84903
202110,0.86202
202111,0.87636
202112,0.88462
202201,0.88299
202202,0.88176
202203,0.90827
202204,0.92330
202205,0.94621
202206,0.94572
202207,0.98007
202208,0.98793
202209,1.00824
202210,1.01712
202211,0.97996
202212,0.94477
202301,0.92756
202302,0.93361
202303,0.93413
202304,0.91096
202305,0.91884
202306,0.92274
202307,0.90473
202308,0.91624
202309,0.93578
202310,0.94643
202311,0.92515
202312,0.91603
202401,0.91600
202402,0.92642
202403,0.91993
202404,0.93232
202405,0.92533
202406,0.92890
202407,0.92157
202408,0.90788
202409,0.90030
202410,0.91712
202411,0.94020
202412,0.95430
202501,0.96639
202502,0.96045
202503,0.92691
202504,0.89121
202505,0.88686
202506,0.86823
202507,0.85484
202508,0.85860
202509,0.85239
202510,0.85851
202511,0.86472
202512,0.85383
202601,0.85131
202602,0.84636
202603,0.86929
202604,0.85466
202605,0.85771
202606,0.87666
202607,0.86864
202608,0.86301
202609,0.86301
202610,0.86301
202611,0.86301
202612,0.86301
