database,group_name,group_description,group_stageDimName,group_financeDimName,group_accessGroup,name,type,description,outputValue,flipSign,ruleExpression
CHILE,A_Chempax_Chile,A_Chempax_Chile,Ac,DetailAccount,Everyone,35-20-1010-,TransformOneToOne,Banco Chile - CLP,1100010,false,
CHILE,A_Chempax_Chile,A_Chempax_Chile,Ac,DetailAccount,Everyone,35-20-1020-,TransformOneToOne,Banco Chile - USD,1100010,false,
CHILE,A_Chempax_Chile,A_Chempax_Chile,Ac,DetailAccount,Everyone,35-20-1840-,TransformOneToOne,Construction in prog,1510000,false,
CHILE,A_Chempax_Chile,A_Chempax_Chile,Ac,DetailAccount,Everyone,35-20-2010-,TransformOneToOne,Accounts Payable - T,2150000,true,
CHILE,A_Chempax_Chile,A_Chempax_Chile,Ac,DetailAccount,Everyone,35-20-2020-,TransformOneToOne,Accrued Liabilities,2150000,true,
CHILE,A_Chempax_Chile,A_Chempax_Chile,Ac,DetailAccount,Everyone,35-20-2270-0002,TransformOneToOne,IC A/P Non-Trade - M,2381000,true,
CHILE,A_Chempax_Chile,A_Chempax_Chile,Ac,DetailAccount,Everyone,35-20-2910-,TransformOneToOne,Paid in Capital,3101000,true,
CHILE,A_Chempax_Chile,A_Chempax_Chile,Ac,DetailAccount,Everyone,35-20-6380-5128,TransformOneToOne,Prof Services,6310100,false,
CHILE,A_Chempax_Chile,A_Chempax_Chile,Ac,DetailAccount,Everyone,35-20-6385-5128,TransformOneToOne,Bank Fees,6610140,false,
CHILE,A_Chempax_Chile,A_Chempax_Chile,Ac,DetailAccount,Everyone,35-20-6390-5128,TransformOneToOne,Other Exp,6610070,false,
CHILE,A_Chempax_Chile,A_Chempax_Chile,Ac,DetailAccount,Everyone,35-20-6520-0128,TransformOneToOne,Foreign Exchange,8110100,false,
CHILE,A_Chempax_Chile,A_Chempax_Chile,Ac,DetailAccount,Everyone,X0-00-0000-0000,TransformOneToOne,Suspense,Suspense,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-10101-,TransformOneToOne,CASH ON HAND,1100000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-10201-,TransformOneToOne,CASH-BANK(USD-CAPIT),1100060,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-10201-0001,TransformOneToOne,CASH IN BANK BC(USD),1100060,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-10202-,TransformOneToOne,CASH IN BANK(RMB),1100060,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-10202-0001,TransformOneToOne,CASH IN BANK BC(RMB),1100060,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-10204-,TransformOneToOne,CASH-BANK (USD REG),1100060,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-10206-,TransformOneToOne,CASH IN BANK-CMB,1100000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-11301-,TransformOneToOne,A/R-THIRD PARTY,1150000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-11301-0001,TransformOneToOne,A/R JV INTERCO,1160000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-11301-0002,TransformOneToOne,A/R-MAF INTERCO,1160000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-11301-0003,TransformOneToOne,A/R-CURRENCY,1100060,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-11301-0004,TransformOneToOne,A/R-EVD,1160000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-11301-0023,TransformOneToOne,A/R JV INTERCO - WF,1160000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-11302-,TransformOneToOne,OTHER RECEIVABLES,1300900,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-11302-12,TransformOneToOne,OTHER REC-EMPLOYEE,1153000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-11302-13,TransformOneToOne,OTHER REC-ROYAL OAK,1160000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-11401-,TransformOneToOne,BAD DEBT RESERVE,1151000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-11805-,TransformOneToOne,ADV. TO WEIFENG HK,1160000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-11908-,TransformOneToOne,PREPAID EXPENSES,1250900,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-11909-,TransformOneToOne,PREPAID TOLLING FEE,1250900,false,
