database,group_name,group_description,group_stageDimName,group_financeDimName,group_accessGroup,name,type,description,outputValue,flipSign,ruleExpression
CHILE,UD3_Chempax_Chile,UD3_Chempax_Chile,U3,DetailCostCenter,Everyone,35-20-1010-,TransformOneToOne,Banco Chile - CLP,CC_BalSheet,false,
CHILE,UD3_Chempax_Chile,UD3_Chempax_Chile,U3,DetailCostCenter,Everyone,35-20-1020-,TransformOneToOne,Banco Chile - USD,CC_BalSheet,false,
CHILE,UD3_Chempax_Chile,UD3_Chempax_Chile,U3,DetailCostCenter,Everyone,35-20-1840-,TransformOneToOne,Construction in prog,CC_BalSheet,false,
CHILE,UD3_Chempax_Chile,UD3_Chempax_Chile,U3,DetailCostCenter,Everyone,35-20-2010-,TransformOneToOne,Accounts Payable - T,CC_BalSheet,false,
CHILE,UD3_Chempax_Chile,UD3_Chempax_Chile,U3,DetailCostCenter,Everyone,35-20-2270-0002,TransformOneToOne,IC A/P Non-Trade - M,CC_Balsheet,false,
CHILE,UD3_Chempax_Chile,UD3_Chempax_Chile,U3,DetailCostCenter,Everyone,35-20-6380-5128,TransformOneToOne,Prof Services,MCH73545,false,
CHILE,UD3_Chempax_Chile,UD3_Chempax_Chile,U3,DetailCostCenter,Everyone,35-20-6385-5128,TransformOneToOne,Bank Fees,MCH73545,false,
CHILE,UD3_Chempax_Chile,UD3_Chempax_Chile,U3,DetailCostCenter,Everyone,35-20-6390-5128,TransformOneToOne,Other Exp,MCH73545,false,
CHILE,UD3_Chempax_Chile,UD3_Chempax_Chile,U3,DetailCostCenter,Everyone,35-20-6520-0128,TransformOneToOne,Foreign Exchange,CC_NonOpAccts,false,
CHILE,UD3_Chempax_Chile,UD3_Chempax_Chile,U3,DetailCostCenter,Everyone,Mask1,TransformMask,,(Unassigned),false,*
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-10101-,TransformOneToOne,CASH ON HAND,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-10201-,TransformOneToOne,CASH-BANK(USD-CAPIT),CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-10201-0001,TransformOneToOne,CASH IN BANK BC(USD),CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-10202-,TransformOneToOne,CASH IN BANK(RMB),CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-10202-0001,TransformOneToOne,CASH IN BANK BC(RMB),CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-10204-,TransformOneToOne,CASH-BANK (USD REG),CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-11301-,TransformOneToOne,A/R-THIRD PARTY,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-11301-0001,TransformOneToOne,A/R JV INTERCO,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-11301-0002,TransformOneToOne,A/R-MAF INTERCO,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-11301-0004,TransformOneToOne,A/R-EVD,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-11302-,TransformOneToOne,OTHER RECEIVABLES,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-11302-12,TransformOneToOne,OTHER REC-EMPLOYEE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-11401-,TransformOneToOne,BAD DEBT RESERVE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-11805-,TransformOneToOne,ADV. TO WEIFENG HK,CC_BalSheet,false,
