PRODUCT_CATEGORIES,CATEGORY_TYPE
11. Extract Raw Material,Extract
12. Licorice Extract Block,Extract
13. Licorice Extract Powder,Extract
14. Licorice Extract Liquid,Extract
15. Electrowinning,Electrowinning
16. Licorice Extract Byproduct,Extract
17. Derivative Raw Material,Der.RM
21. Magnasweet,Magnasweet
22. Magnasweet Other,Magnasweet
23. MagnaBrands,Magnasweet
31. Derivative MAG (MM100),Derivative
32. Derivative MAG (Natural),Derivative
33. Derivative MAG (FD),Derivative
34. Derivative GA,Derivative
35. Derivative AG,Derivative
36. Derivative DPG,Derivative
37. Derivative DSG,Derivative
38. Derivative TSG,Derivative
39. Derivative Byproduct,Derivative
41. Derivative Trade SGA,Trade
42. Derivative Trade Glabridin,Trade
43. Derivative Trade 18 Beta/Enoxolone,Trade
44. Derivative Trade MPG,Trade
45. Derivative Byproduct Trade,Trade
