PRODUCT_CODE,PRODUCT_NAME,PRODUCT_FORM,DATABASE
FM0002,MM110,Liquid,US
FM0004,MM185,Powder,US
FM0006,MM150,Powder,US
FM0008,MM180,Powder,US
FM0015,MM125,Powder,US
FM0017,MM115,Liquid,US
FM0018,MM118,Liquid,US
FM0023,3XP186,Liquid,US
FM0024,MM136,Liquid,US
FM0030,MM188M,Powder,US
FM0049,MM1102X,Liquid,US
FM0050,MM1352X,Powder,US
FM0134,MM100FX,Powder,US
FM0135,MM110F,Liquid,US
FM0136,MM200,Powder,US
FM0138,MM210F,Liquid,US
FM0143,MM200F,Powder,US
FM0157,MM135,Powder,US
FM0178,MM210F-OC,Liquid,US
FM0179,MM135 Fine Particle,Powder,US
FM0180,CM2,Powder,US
FM0181,Magnasweet Bitter Blocker N,Powder,US
FM0182,Magnasweet Bitter Blocker S,Powder,US
fm0183,CM1,Powder,US
FM0184,CM1-L,Liquid,US
FM0226,MagnaSweet BB-001,Powder,US
FM0232,MagnaSweet BB-002,Powder,US
FM0233,MagnaSweet PH-016,Powder,US
FM0236,MagnaSweet PM-004,Powder,US
FM0237,Magnasweet SwE-063,Liquid,US
FM0241,MagnaSweet PM-024LE,Powder,US
FM0243,MagnaSweet MMF-004,Liquid,US
FM0244,MagnaSweet SwE-061,Powder,US
FM0247,MagnaSweet BB-020,Powder,US
FM0250,Magnasweet SwE-089,Powder,US
FM0255,MagnaSweet BB-022LE,Powder,US
FM0259,MagnaSweet BB-021LE,Powder,US
FM0260,Magnasweet SwE-091LE,Powder,US
FM0262,MagnaSweet SwE-115LE,Powder,US
FM0268,MagnaSweet MMF-016,Liquid,US
FM0270,MagnaSweet SwE-093LE,Liquid,US
FM0271,MagnaSweet MMF-014,Liquid,US
FM0272,Natural Flavor SwE-122,Powder,US
FM0274,MagnaSweet SE-014,Powder,US
FL0004,SHIP PASTE,Block,US
FL0022,PWDRD ORNTL LIC EXT,Powder,US
FL0118,SHIP PASTE - PM,Block,US
FL3018,CMMS SDLE,Powder,US
FL3033,TV/LA Powder,Powder,US
FL3126,CWK SDLE,Powder,US
FL5000,LICORICE EXTRACT D SDLE,Powder,US
FL5001,Select Blend HD SDLE (STIX),Powder,US
FL5002,Select Blend HD SDLE,Powder,US
FL5004,3XP174 SDLE,Powder,US
FL5005,549 D SDLE,Powder,US
FL5006,Licorice Extract 885 SDLE,Powder,US
FL5007,Select Blend HD (F) SDLE,Powder,US
FL5008,Select Blend HD (N) SDLE,Powder,US
FL5009,3XP230 POUDRE,Powder,US
