process,category,type,account_num
AG-CAKE,Variable O/H Cost,Water,72-70-50200-2314
AG-CAKE,Variable O/H Cost,Steam,72-70-50202-2314
AG-CAKE,Variable O/H Cost,Electric,72-70-50203-2314
AG-CAKE,Variable O/H Cost,Hourly Labor,72-70-50205-2314
AG-CAKE,Variable O/H Cost,Hourly Labor Benefit,72-70-50206-2314
AG-CAKE,Variable O/H Cost,Professional Services,72-70-50210-2314
AG-CAKE,Variable O/H Cost,Package,72-70-50217-2314
AG-CAKE,Variable O/H Cost,Waste Water,72-70-50223-2314
AG-CAKE,Fixed O/H Cost,Repair & Maintenance,72-70-50204-2314
AG-CAKE,Fixed O/H Cost,Depreciation,72-70-50207-2314
AG-CAKE,Fixed O/H Cost,SUP-SALAR,72-70-50214-2314
AG-CAKE,Fixed O/H Cost,SUP-WELF,72-70-50215-2314
AG-CAKE,Fixed O/H Cost,PRD-OFFIC,72-70-50222-2314
AG-CAKE,Fixed O/H Cost,PPV-GEN,72-70-50304-2314
AG-CAKE,Fixed O/H Cost,Inventory Adjustments,72-70-50318-2314
AG-CAKE,Absorption Variance,AG-CAKE,72-70-50321-2314
AG-MM300,Absorption Variance,AG-MM300,72-70-50321-2332
BLOCK,Variable O/H Cost,Water,55-00-50200-2030
BLOCK,Variable O/H Cost,Steam,55-00-50202-2030
BLOCK,Variable O/H Cost,Electric,55-00-50203-2030
BLOCK,Variable O/H Cost,Hourly Labor,55-00-50205-2030
BLOCK,Variable O/H Cost,Hourly Labor Benefit,55-00-50206-2030
BLOCK,Variable O/H Cost,Professional Services,55-00-50210-2030
BLOCK,Variable O/H Cost,Package,55-00-50217-2030
BLOCK,Variable O/H Cost,Waste Water,55-00-50223-2030
BLOCK,Fixed O/H Cost,Repair & Maintenance,55-00-50204-2030
BLOCK,Fixed O/H Cost,Depreciation,55-00-50207-2030
BLOCK,Fixed O/H Cost,SUP-SALAR,55-00-50214-2030
BLOCK,Fixed O/H Cost,SUP-WELF,55-00-50215-2030
BLOCK,Fixed O/H Cost,PRD-OFFIC,55-00-50222-2030
BLOCK,Fixed O/H Cost,PPV-GEN,55-00-50304-2030
BLOCK,Fixed O/H Cost,Inventory Adjustments,55-00-50318-2030
BLOCK,Absorption Variance,BLOCK,55-00-71350000-2030
CMAG-CGA,Variable O/H Cost,Water,72-70-50200-2315
CMAG-CGA,Variable O/H Cost,Steam,72-70-50202-2315
CMAG-CGA,Variable O/H Cost,Electric,72-70-50203-2315
CMAG-CGA,Variable O/H Cost,Hourly Labor,72-70-50205-2315
CMAG-CGA,Variable O/H Cost,Hourly Labor Benefit,72-70-50206-2315
CMAG-CGA,Variable O/H Cost,Professional Services,72-70-50210-2315
CMAG-CGA,Variable O/H Cost,Package,72-70-50217-2315
CMAG-CGA,Variable O/H Cost,Waste Water,72-70-50223-2315
CMAG-CGA,Fixed O/H Cost,Repair & Maintenance,72-70-50204-2315
CMAG-CGA,Fixed O/H Cost,Depreciation,72-70-50207-2315
CMAG-CGA,Fixed O/H Cost,SUP-SALAR,72-70-50214-2315
CMAG-CGA,Fixed O/H Cost,SUP-WELF,72-70-50215-2315
CMAG-CGA,Fixed O/H Cost,PRD-OFFIC,72-70-50222-2315
CMAG-CGA,Fixed O/H Cost,PPV-GEN,72-70-50304-2315
CMAG-CGA,Fixed O/H Cost,Inventory Adjustments,72-70-50318-2315
CMAG-CGA,Absorption Variance,CMAG-CGA,72-70-50321-2315
DPG/TSG/DSG/GA-CGA,Variable O/H Cost,Water,72-70-50200-2317
DPG/TSG/DSG/GA-CGA,Variable O/H Cost,Steam,72-70-50202-2317
DPG/TSG/DSG/GA-CGA,Variable O/H Cost,Electric,72-70-50203-2317
DPG/TSG/DSG/GA-CGA,Variable O/H Cost,Hourly Labor,72-70-50205-2317
DPG/TSG/DSG/GA-CGA,Variable O/H Cost,Hourly Labor Benefit,72-70-50206-2317
DPG/TSG/DSG/GA-CGA,Variable O/H Cost,Professional Services,72-70-50210-2317
DPG/TSG/DSG/GA-CGA,Variable O/H Cost,Package,72-70-50217-2317
DPG/TSG/DSG/GA-CGA,Variable O/H Cost,Waste Water,72-70-50223-2317
DPG/TSG/DSG/GA-CGA,Fixed O/H Cost,Repair & Maintenance,72-70-50204-2317
DPG/TSG/DSG/GA-CGA,Fixed O/H Cost,Depreciation,72-70-50207-2317
DPG/TSG/DSG/GA-CGA,Fixed O/H Cost,SUP-SALAR,72-70-50214-2317
DPG/TSG/DSG/GA-CGA,Fixed O/H Cost,SUP-WELF,72-70-50215-2317
DPG/TSG/DSG/GA-CGA,Fixed O/H Cost,PRD-OFFIC,72-70-50222-2317
DPG/TSG/DSG/GA-CGA,Fixed O/H Cost,PPV-GEN,72-70-50304-2317
DPG/TSG/DSG/GA-CGA,Fixed O/H Cost,Inventory Adjustments,72-70-50318-2317
DPG/TSG/DSG/GA-CGA,Absorption Variance,DPG/TST/DST/GA-CGA,72-70-50321-2317
DPG/TSG/DSG/GA-CMAG,Variable O/H Cost,Water,72-70-50200-2318
DPG/TSG/DSG/GA-CMAG,Variable O/H Cost,Steam,72-70-50202-2318
DPG/TSG/DSG/GA-CMAG,Variable O/H Cost,Electric,72-70-50203-2318
DPG/TSG/DSG/GA-CMAG,Variable O/H Cost,Hourly Labor,72-70-50205-2318
DPG/TSG/DSG/GA-CMAG,Variable O/H Cost,Hourly Labor Benefit,72-70-50206-2318
DPG/TSG/DSG/GA-CMAG,Variable O/H Cost,Professional Services,72-70-50210-2318
DPG/TSG/DSG/GA-CMAG,Variable O/H Cost,Package,72-70-50217-2318
DPG/TSG/DSG/GA-CMAG,Variable O/H Cost,Waste Water,72-70-50223-2318
DPG/TSG/DSG/GA-CMAG,Fixed O/H Cost,Repair & Maintenance,72-70-50204-2318
DPG/TSG/DSG/GA-CMAG,Fixed O/H Cost,Depreciation,72-70-50207-2318
DPG/TSG/DSG/GA-CMAG,Fixed O/H Cost,SUP-SALAR,72-70-50214-2318
DPG/TSG/DSG/GA-CMAG,Fixed O/H Cost,SUP-WELF,72-70-50215-2318
DPG/TSG/DSG/GA-CMAG,Fixed O/H Cost,PRD-OFFIC,72-70-50222-2318
DPG/TSG/DSG/GA-CMAG,Fixed O/H Cost,PPV-GEN,72-70-50304-2318
DPG/TSG/DSG/GA-CMAG,Fixed O/H Cost,Inventory Adjustments,72-70-50318-2318
DPG/TSG/DSG/GA-CMAG,Absorption Variance,DPG/TST/DST/GA-CMAG,72-70-50321-2318
DRY BLEND,Variable O/H Cost,Water,55-00-50200-2040
DRY BLEND,Variable O/H Cost,Steam,55-00-50202-2040
DRY BLEND,Variable O/H Cost,Electric,55-00-50203-2040
DRY BLEND,Variable O/H Cost,Hourly Labor,55-00-50205-2040
DRY BLEND,Variable O/H Cost,Hourly Labor Benefit,55-00-50206-2040
DRY BLEND,Variable O/H Cost,Professional Services,55-00-50210-2040
DRY BLEND,Variable O/H Cost,Package,55-00-50217-2040
DRY BLEND,Variable O/H Cost,Waste Water,55-00-50223-2040
DRY BLEND,Fixed O/H Cost,Repair & Maintenance,55-00-50204-2040
DRY BLEND,Fixed O/H Cost,Depreciation,55-00-50207-2040
DRY BLEND,Fixed O/H Cost,SUP-SALAR,55-00-50214-2040
DRY BLEND,Fixed O/H Cost,SUP-WELF,55-00-50215-2040
DRY BLEND,Fixed O/H Cost,PRD-OFFIC,55-00-50222-2040
DRY BLEND,Fixed O/H Cost,PPV-GEN,55-00-50304-2040
DRY BLEND,Fixed O/H Cost,Inventory Adjustments,55-00-50318-2040
DRY BLEND,Absorption Variance,DRY BLEND,55-00-71350000-2040
DRY MIX,Variable O/H Cost,Water,72-70-50200-2325
DRY MIX,Variable O/H Cost,Steam,72-70-50202-2325
DRY MIX,Variable O/H Cost,Electric,72-70-50203-2325
DRY MIX,Variable O/H Cost,Hourly Labor,72-70-50205-2325
DRY MIX,Variable O/H Cost,Hourly Labor Benefit,72-70-50206-2325
DRY MIX,Variable O/H Cost,Professional Services,72-70-50210-2325
DRY MIX,Variable O/H Cost,Package,72-70-50217-2325
DRY MIX,Variable O/H Cost,Waste Water,72-70-50223-2325
DRY MIX,Fixed O/H Cost,Repair & Maintenance,72-70-50204-2325
DRY MIX,Fixed O/H Cost,Depreciation,72-70-50207-2325
DRY MIX,Fixed O/H Cost,SUP-SALAR,72-70-50214-2325
DRY MIX,Fixed O/H Cost,SUP-WELF,72-70-50215-2325
DRY MIX,Fixed O/H Cost,PRD-OFFIC,72-70-50222-2325
DRY MIX,Fixed O/H Cost,PPV-GEN,72-70-50304-2325
DRY MIX,Fixed O/H Cost,Inventory Adjustments,72-70-50318-2325
DRY MIX,Absorption Variance,DRY MIX,72-70-50321-2325
EVD,Variable O/H Cost,Hourly Labor (Variable),55-00-62110000-
EVD,Variable O/H Cost,Hourly Labor (Variable),55-00-64111000-
EVD,Variable O/H Cost,Hourly Labor (Variable),55-00-64130100-
EVD,Variable O/H Cost,Hourly Labor (Variable),55-00-64131100-
EVD,Variable O/H Cost,Hourly Labor (Variable),55-00-64132100-
EVD,Variable O/H Cost,Hourly Labor Benefit,55-00-64120100-
EVD,Variable O/H Cost,Hourly Labor Benefit,55-00-64148000-
EVD,Variable O/H Cost,Hourly Labor Benefit,55-00-64148100-
EVD,Variable O/H Cost,Hourly Labor Benefit,55-00-64511000-
EVD,Variable O/H Cost,Hourly Labor Benefit,55-00-64511800-
