CUST_GROUP,CUST_NAME,COUNTRY_NAME,SALES_REP,TEAM,FOCUS
"1440 Foods, LLC","1440 Foods, LLC",UNITED STATES OF AMERICA,Kelli M.,Americas,false
"220 LABORATORIES, INC.","220 LABORATORIES, INC.",UNITED STATES OF AMERICA,Kelli M.,Americas,false
24K LABS,24K LABS,UNITED STATES OF AMERICA,Kelli M.,Americas,false
3C Group LLC,3C Group LLC,UNITED STATES OF AMERICA,Kelli M.,Americas,false
4WD VISION EUROPE B.V.,4WD VISION EUROPE B.V.,THAILAND,Florian M.,Europe,false
710 Trading,710 Trading,UNITED STATES OF AMERICA,Kelli M.,Americas,false
ABBVIE INC.,ABBVIE INC.,UNITED STATES OF AMERICA,Danielle J.,Americas,false
"ABCO LABORATORIES, INC.","ABCO LABORATORIES, INC.",UNITED STATES OF AMERICA,Kelli M.,Americas,false
ABDALLAH CANDIES INC.,ABDALLAH CANDIES INC.,UNITED STATES OF AMERICA,Kelli M.,Americas,false
ABELEI FLAVORS,ABELEI FLAVORS,UNITED STATES OF AMERICA,Danielle J.,Americas,false
ABSTRAX TECH,ABSTRAX TECH,UNITED STATES OF AMERICA,Kelli M.,Americas,false
"ACCUPAC, INC.","ACCUPAC, INC.",UNITED STATES OF AMERICA,Danielle J.,Americas,false
Acenzia Inc.,Acenzia Inc.,CANADA,Kelli M.,Americas,false
ACTIVES INTERNATIONAL LLC,ACTIVES INTERNATIONAL LLC,UNITED STATES OF AMERICA,Danielle J.,Americas,true
ACTIV'INSIDE,ACTIV'INSIDE,FRANCE,Florian M.,Europe,false
ADAMANTINE LLC,ADAMANTINE LLC,UNITED STATES OF AMERICA,Kelli M.,Americas,false
ADCHEM INTERNATIONAL FZCO,ADCHEM INTERNATIONAL FZCO,UNITED ARAB EMIRATES,Sanjay C.,IMEA,true
ADCHEM INTERNATIONAL FZCO,ADCHEM INTERNATIONAL FZCO,UNITED ARABIC EMIRATES,Sanjay C.,IMEA,true
AEROSOLS DANVILLE INC,AEROSOLS DANVILLE INC,UNITED STATES OF AMERICA,Kelli M.,Americas,false
"AGGRIST, INC.","AGGRIST, INC.",UNITED STATES OF AMERICA,Kelli M.,Americas,false
Ahven LLC,Ahven LLC,UNITED STATES OF AMERICA,Kelli M.,Americas,false
AISHIKE FOOD(ZHEJIANG) CO.LTD.,AISHIKE FOOD(ZHEJIANG) CO.LTD.,CHINA,Haibin Y.,China/Japan,false
AKORN,AKORN,UNITED STATES OF AMERICA,Kelli M.,Americas,false
