DATABASEPRODUCT_CODE,DATABASE,PRODUCT_CODE,PRODUCT_NAME,UNIFIED_PRODUCT_NAME,UNIFIED_PRODUCT_CODE,NEW_UNIFIED_CODE,PRODUCT_CATEGORIES,ACTIVE
CHINAMG0124,CHINA,MG0124,DPG/L,DPG/L,MG0124,N-MG0124,36. Derivative DPG,true
CHINAMG0022,CHINA,MG0022,DPG,DPG,MR0078,N-MR0078,36. Derivative DPG,true
CHINAMG0059,CHINA,MG0059,GYE-Na,GYE-Na,MG0059,N-MG0059,45. Derivative Byproduct Trade,true
CHINAMG0076,CHINA,MG0076,GLYCYRRHIZIC ACID,GLYCYRRHIZIC ACID,MG0076,N-MG0076,34. Derivative GA,true
CHINAMG0078,CHINA,MG0078,MAG-CP,MAG-CP,MG0078,N-MG0078,31. Derivative MAG (MM100),true
CHINACG0012,CHINA,CG0012,CGA-Blend,CGA-Blend,CG0012,N-CG0012,17. Derivative Raw Material,true
CHINAMG0040,CHINA,MG0040,GYE-K,GYE-K,MG0040,N-MG0040,45. Derivative Byproduct Trade,true
CHINAFL0274,CHINA,FL0274,3XP1041 SF,3XP1041,FL0274,N-FL0274,22. Magnasweet Other,true
CHINAMG0026,CHINA,MG0026,GLABRIDIN 40%,GLABRIDIN 40%,MG0026,N-MG0026,42. Derivative Trade Glabridin,true
CHINAMG0140,CHINA,MG0140,GAM,GAM,FM0228,N-FM0228,36. Derivative DPG,false
CHINAMG0029,CHINA,MG0029,MAG-FOOD,MAG,MR0094,N-MR0094,31. Derivative MAG (MM100),true
CHINAFM0049,CHINA,FM0049,MM110 2X,MM110-2X,FM0049,N-FM0049,21. Magnasweet,true
CHINAFM0029,CHINA,FM0029,3XP789_SEMIFLUID,3XP789,FM0029,N-FM0029,22. Magnasweet Other,true
CHINAFL0518,CHINA,FL0518,WHY05001-LICORICE EXTRACT SF,WHY05001-LICORICE EXTRACT SF,FL0518,N-FL0518,11. Extract Raw Material,true
CHINACG0039,CHINA,CG0039,CGA-Sinopharm,CGA,CG0047,N-CG0047,17. Derivative Raw Material,true
CHINAMG0023,CHINA,MG0023,18 BETA/GLYCYRRHETINIC ACID,Enoxolone,MG0023,N-MG0023,43. Derivative Trade 18 Beta/Enoxolone,true
CHINAFM0027,CHINA,FM0027,3XP304,3XP304,FM0027,N-FM0027,22. Magnasweet Other,true
CHINAFL0220,CHINA,FL0220,3XP883,3XP883,FL0220,N-FL0220,14. Licorice Extract Liquid,true
CHINAEX0541,CHINA,EX0541,Z SEMI FLUID,Z SEMI FLUID,EX0541,N-EX0541,14. Licorice Extract Liquid,true
CHINAFM0176,CHINA,FM0176,GT1,GT1,FM0176,N-FM0176,11. Extract Raw Material,true
CHINAFM0228,CHINA,FM0228,GAM,GAM,FM0228,N-FM0228,36. Derivative DPG,true
CHINAFM0030,CHINA,FM0030,MAGNASWEET 188M,MM188M,FM0030,N-FM0030,22. Magnasweet Other,true
CHINAMG0112,CHINA,MG0112,MAG-EP,MAG-EP,MR0156,N-MR0156,31. Derivative MAG (MM100),true
CHINAFM0040,CHINA,FM0040,VA CASING FLAVOR 448,VA CASING FLAVOR 448,FM0040,N-FM0040,13. Licorice Extract Powder,true
CHINAFM0159,CHINA,FM0159,MM+7S5,MM75+,FM0159,N-FM0159,22. Magnasweet Other,true
CHINAFM0021,CHINA,FM0021,3XP206,3XP206,FM0021,N-FM0021,22. Magnasweet Other,true
CHINACG0034,CHINA,CG0034,CGA-UZK,CGA,CG0047,N-CG0047,17. Derivative Raw Material,true
CHINAFL0208,CHINA,FL0208,3XP867,3XP867,FL0208,N-FL0208,22. Magnasweet Other,true
CHINAMG0041,CHINA,MG0041,DISODIUM GLYCYRRHIZINATE,DSG,MG0041,N-MG0041,37. Derivative DSG,true
CHINAFM0020,CHINA,FM0020,MM135,MM135,FM0157,N-FM0157,22. Magnasweet Other,true
CHINAMG0152,CHINA,MG0152,GLABRIDIN 90%,GLABRIDIN 90%,MG0152,N-MG0152,42. Derivative Trade Glabridin,true
CHINAFL0061,CHINA,FL0061,3XP301,3XP301,FL0061,N-FL0061,22. Magnasweet Other,true
CHINAFL0093,CHINA,FL0093,3XP398/2XP392 SEMI-FLUID,3XP398/2XP392,FL0093,N-FL0093,22. Magnasweet Other,true
CHINAMR0142,CHINA,MR0142,Glabridin 25%,Glabridin 25%,MR0142,N-MR0142,42. Derivative Trade Glabridin,true
CHINAFL0114,CHINA,FL0114,LI-RF-4967,LI-RF-4967,FL0114,N-FL0114,13. Licorice Extract Powder,true
CHINAFL0299,CHINA,FL0299,3XP1102,3XP1102,FL0299,N-FL0299,22. Magnasweet Other,true
CHINAMG0097,CHINA,MG0097,STEARYL GLYCYRRHETINATE,SGA,MG0097,N-MG0097,41. Derivative Trade SGA,true
CHINAEX0117,CHINA,EX0117,SDLE-HY,SDLE-HY,EX0117,N-EX0117,11. Extract Raw Material,true
CHINAFM0143,CHINA,FM0143,MM200F,MM200F,FM0143,N-FM0143,33. Derivative MAG (FD),true
CHINAMG0071,CHINA,MG0071,R-21,R-21,MG0103,N-MG0103,39. Derivative Byproduct,true
